excel_row,machine_group,min_gage,max_gage,min_len,max_len,gcsp,score_real,score_lp,score_lpfa,score_hv,score_nn,is_nn_pick,is_optimum,rank_real,pct_optimum
101,cut heavy gage cables,71.0,103.0,60.0,100.0,9.6,87,42,42,3,86.7243,0,0,3,97.75
102,cut heavy gage cables,71.0,103.0,101.0,1000.0,9.6,84,42,42,0,83.664,0,0,10,94.38
103,cut heavy gage cables,71.0,103.0,1001.0,2000.0,12.6,84,42,42,0,83.6862,0,0,11,94.38
104,cut heavy gage cables,71.0,103.0,2001.0,3000.0,15.96,84,42,42,0,83.6376,0,0,22,94.38
105,cut heavy gage cables,71.0,103.0,3001.0,4000.0,31.02,84,42,42,0,83.6645,0,0,13,94.38
106,cut heavy gage cables,71.0,103.0,4001.0,5000.0,34.98,84,42,42,0,83.6407,0,0,17,94.38
107,cut heavy gage cables,71.0,103.0,5001.0,6000.0,40.02,84,42,42,0,83.6346,0,0,20,94.38
108,cut heavy gage cables,71.0,103.0,6001.0,9000.0,48.0,84,42,42,0,83.6202,0,0,19,94.38
109,cut heavy gage cables,71.0,103.0,9001.0,11000.0,55.98,84,42,42,0,83.5909,0,0,18,94.38
110,cut heavy gage cables,71.0,103.0,110001.0,13000.0,65.28,84,42,42,0,83.2337,0,0,23,94.38
115,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,60.0,100.0,1.0909,36,16,16,4,37.2392,0,0,471,40.45
116,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,101.0,1000.0,1.0909,32,16,16,0,33.8593,0,0,512,35.96
117,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,1001.0,2000.0,1.2211,32,16,16,0,33.8124,0,0,513,35.96
118,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,2001.0,3000.0,1.4218,32,16,16,0,33.7544,0,0,514,35.96
119,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,3001.0,4000.0,1.6231,32,16,16,0,33.7298,0,0,515,35.96
120,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,4001.0,5000.0,1.8246,32,16,16,0,33.7312,0,0,517,35.96
121,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,5001.0,6000.0,2.0224,32,16,16,0,33.7405,0,0,516,35.96
122,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,6001.0,7000.0,2.2194,32,16,16,0,33.7608,0,0,518,35.96
123,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,7001.0,8000.0,2.4242,32,16,16,0,33.7965,0,0,519,35.96
124,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,8001.0,9000.0,2.6086,32,16,16,0,33.827,0,0,521,35.96
125,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,9001.0,11000.0,2.85,32,16,16,0,33.8825,0,0,520,35.96
126,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,11001.0,13000.0,3.1578,32,16,16,0,33.8629,0,0,522,35.96
127,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,13001.0,15000.0,3.4285,32,16,16,0,33.8285,0,0,523,35.96
128,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,15001.0,17000.0,3.6992,32,16,16,0,33.7968,0,0,526,35.96
129,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,17001.0,19000.0,3.9699,32,16,16,0,33.7575,0,0,527,35.96
132,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,60.0,100.0,1.2409,36,16,16,4,37.2542,0,0,468,40.45
133,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,101.0,1000.0,1.2409,32,16,16,0,33.8698,0,0,525,35.96
134,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,1001.0,2000.0,1.3711,32,16,16,0,33.8165,0,0,524,35.96
135,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,2001.0,3000.0,1.5718,32,16,16,0,33.7578,0,0,497,35.96
136,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,3001.0,4000.0,1.7731,32,16,16,0,33.7342,0,0,499,35.96
137,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,4001.0,5000.0,1.9746,32,16,16,0,33.7365,0,0,498,35.96
138,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,5001.0,6000.0,2.1724,32,16,16,0,33.7504,0,0,503,35.96
139,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,6001.0,7000.0,2.3694,32,16,16,0,33.77,0,0,500,35.96
140,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,7001.0,8000.0,2.5742,32,16,16,0,33.806,0,0,501,35.96
141,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,8001.0,9000.0,2.7586,32,16,16,0,33.8349,0,0,502,35.96
142,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,9001.0,11000.0,3.0,32,16,16,0,33.8899,0,0,511,35.96
143,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,11001.0,13000.0,3.3078,32,16,16,0,33.8714,0,0,504,35.96
144,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,13001.0,15000.0,3.5785,32,16,16,0,33.8366,0,0,505,35.96
145,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,15001.0,17000.0,3.8492,32,16,16,0,33.8044,0,0,506,35.96
146,"cut/ strip &crimp
CROSS SECTION 0,13mm²",0.13,0.13,17001.0,19000.0,4.1199,32,16,16,0,33.7616,0,0,507,35.96
149,cut/ strip &crimp,0.22,6.0,60.0,100.0,1.12,48,21,21,6,48.0904,0,0,190,53.93
150,cut/ strip &crimp,0.22,6.0,101.0,1000.0,1.12,44,21,21,2,44.379,0,0,267,49.44
151,cut/ strip &crimp,0.22,6.0,1001.0,2000.0,1.3,44,21,21,2,44.3858,0,0,268,49.44
152,cut/ strip &crimp,0.22,6.0,2001.0,3000.0,1.46,44,21,21,2,44.3599,0,0,269,49.44
153,cut/ strip &crimp,0.22,6.0,3001.0,4000.0,1.6,44,21,21,2,44.3577,0,0,262,49.44
154,cut/ strip &crimp,0.22,6.0,4001.0,5000.0,1.74,44,21,21,2,44.3564,0,0,263,49.44
155,cut/ strip &crimp,0.22,6.0,5001.0,6000.0,1.9,44,21,21,2,44.3504,0,0,264,49.44
156,cut/ strip &crimp,0.22,6.0,6001.0,7000.0,2.02,44,21,21,2,44.3473,0,0,265,49.44
157,cut/ strip &crimp,0.22,6.0,7001.0,8000.0,2.18,44,21,21,2,44.3451,0,0,213,49.44
158,cut/ strip &crimp,0.22,6.0,8001.0,9000.0,2.36,44,21,21,2,44.3418,0,0,212,49.44
159,cut/ strip &crimp,0.22,6.0,9001.0,11000.0,2.56,44,21,21,2,44.321,0,0,209,49.44
160,cut/ strip &crimp,0.22,6.0,11001.0,13000.0,2.82,44,21,21,2,44.3172,0,0,208,49.44
161,cut/ strip &crimp,0.22,6.0,13001.0,15000.0,3.1,44,21,21,2,44.3103,0,0,229,49.44
162,cut/ strip &crimp,0.22,6.0,15001.0,17000.0,3.38,44,21,21,2,44.301,0,0,228,49.44
163,cut/ strip &crimp,0.22,6.0,17001.0,19000.0,3.66,44,21,21,2,44.277,0,0,221,49.44
166,cut/ strip &crimp with CPS option,0.22,6.0,60.0,100.0,1.227,48,21,21,6,48.1138,0,0,197,53.93
167,cut/ strip &crimp with CPS option,0.22,6.0,101.0,1000.0,1.227,44,21,21,2,44.3774,0,0,210,49.44
168,cut/ strip &crimp with CPS option,0.22,6.0,1001.0,2000.0,1.407,44,21,21,2,44.3665,0,0,211,49.44
169,cut/ strip &crimp with CPS option,0.22,6.0,2001.0,3000.0,1.567,44,21,21,2,44.347,0,0,220,49.44
170,cut/ strip &crimp with CPS option,0.22,6.0,3001.0,4000.0,1.707,44,21,21,2,44.3455,0,0,237,49.44
171,cut/ strip &crimp with CPS option,0.22,6.0,4001.0,5000.0,1.847,44,21,21,2,44.35,0,0,214,49.44
172,cut/ strip &crimp with CPS option,0.22,6.0,5001.0,6000.0,2.007,44,21,21,2,44.3453,0,0,215,49.44
173,cut/ strip &crimp with CPS option,0.22,6.0,6001.0,7000.0,2.127,44,21,21,2,44.342,0,0,216,49.44
174,cut/ strip &crimp with CPS option,0.22,6.0,7001.0,8000.0,2.287,44,21,21,2,44.3395,0,0,217,49.44
175,cut/ strip &crimp with CPS option,0.22,6.0,8001.0,9000.0,2.467,44,21,21,2,44.3355,0,0,218,49.44
176,cut/ strip &crimp with CPS option,0.22,6.0,9001.0,11000.0,2.667,44,21,21,2,44.3179,0,0,219,49.44
177,cut/ strip &crimp with CPS option,0.22,6.0,11001.0,13000.0,2.927,44,21,21,2,44.3243,0,0,236,49.44
178,cut/ strip &crimp with CPS option,0.22,6.0,13001.0,15000.0,3.207,44,21,21,2,44.3218,0,0,222,49.44
179,cut/ strip &crimp with CPS option,0.22,6.0,15001.0,17000.0,3.487,44,21,21,2,44.3086,0,0,223,49.44
180,cut/ strip &crimp with CPS option,0.22,6.0,17001.0,19000.0,3.767,44,21,21,2,44.2824,0,0,224,49.44
183,cut/ strip &crimp,0.13,0.13,60.0,100.0,1.512,36,16,16,4,37.229,0,0,470,40.45
184,cut/ strip &crimp,0.13,0.13,101.0,1000.0,1.512,32,16,16,0,33.9136,0,0,508,35.96
185,cut/ strip &crimp,0.13,0.13,1001.0,2000.0,1.755,32,16,16,0,33.8584,0,0,509,35.96
186,cut/ strip &crimp,0.13,0.13,2001.0,3000.0,1.971,32,16,16,0,33.7896,0,0,510,35.96
187,cut/ strip &crimp,0.13,0.13,3001.0,4000.0,2.16,32,16,16,0,33.7711,0,0,480,35.96
